category,fit_engine_profile,fit_engine_variant
Road-Race,road_performance,race_allround
Road-Aero,road_performance,aero_race
Road-Endurance,road_endurance,comfort_endurance
Road-Lightweight,road_performance,lightweight_climbing
Road-Climbing,road_performance,climbing
Gravel,gravel,allroad
Cyclocross,cyclocross,cx_race
MTB-XC,mtb_xc,xc
MTB-Trail,mtb_trail,trail
MTB-Enduro,mtb_enduro,enduro
MTB-Downhill,mtb_downhill,downhill
MTB-Hardtail,mtb_xc,hardtail
Triathlon-TT,tt_tri,aero_tt
Hybrid,fitness_hybrid,upright_fitness
City,city_utility,upright_utility
Touring,touring,loaded_endurance
E-Bike,electric_assist,assisted_upright
