Order,Cluster,Status,Path,Slug,Page Title,Meta Title,H1,Page Brief,Primary CTA Label,Primary CTA Target,Internal-Link Targets,Notes / Redirects
1,Guides,Existing + expand,/en/guides,guides,Bike Fitting Guides,Bike Fitting Guides | BestBikeFit4U,Bike Fitting Guides,Master discovery page that routes riders by discomfort; ride type; setup question; or performance need.,Start Free Fit,/en/login,"/en/guides/pain-and-discomfort; /en/guides/ride-types; /en/guides/bike-size-and-geometry; /en/guides/nutrition-and-hydration",Keep current /en/guides as the main library hub and expand it with filters; featured clusters; and stronger CTAs.
2,Pain & Discomfort,New,/en/guides/pain-and-discomfort,guides/pain-and-discomfort,Pain & Discomfort Bike Fit Guides,Pain & Discomfort Bike Fit Guides | BestBikeFit4U,Pain & Discomfort Bike Fit Guides,Symptom-led hub to triage recurring discomfort and route riders to the right fit checks first.,Start Free Fit,/en/login,"/en/guides/bike-fitting-for-knee-pain; /en/guides/bike-fitting-for-lower-back-pain; /en/guides/bike-fit-for-hand-numbness-and-wrist-pain; /en/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores",
3,Pain & Discomfort,Existing,/en/guides/bike-fitting-for-knee-pain,guides/bike-fitting-for-knee-pain,Bike Fitting for Knee Pain,Bike Fit for Knee Pain | BestBikeFit4U,Bike Fitting for Knee Pain,Explains the main fit-related knee pain triggers and a conservative order for testing changes.,Start Free Fit,/en/login,"/en/guides/bike-fitting-for-lower-back-pain; /en/guides/saddle-height-guide; /en/guides/cleat-position-basics-guide; /en/science/bike-fit-methods",
4,Pain & Discomfort,Existing + redirect from use case,/en/guides/bike-fitting-for-lower-back-pain,guides/bike-fitting-for-lower-back-pain,Bike Fitting for Lower Back Pain,Bike Fit for Lower Back Pain | BestBikeFit4U,Bike Fitting for Lower Back Pain,Shows how reach; drop; saddle support; and adaptation load can drive lower-back pain.,Start Free Fit,/en/login,"/en/guides/road-bike-fit-guide; /en/guides/reach-and-stem-guide; /en/guides/handlebar-drop-guide; /en/science/bike-fit-methods",301 redirect /en/use-cases/back-pain-cycling here.
5,Pain & Discomfort,New,/en/guides/bike-fit-for-neck-and-shoulder-pain,guides/bike-fit-for-neck-and-shoulder-pain,Bike Fit for Neck and Shoulder Pain,Neck & Shoulder Pain Fit Guide | BestBikeFit4U,Bike Fit for Neck and Shoulder Pain,Helps riders reduce neck and shoulder overload by improving support; reach; and bar setup.,Start Free Fit,/en/login,"/en/guides/bike-fit-for-hand-numbness-and-wrist-pain; /en/guides/handlebar-width-and-hood-position-guide; /en/guides/reach-and-stem-guide; /en/guides/road-bike-fit-guide",
6,Pain & Discomfort,New,/en/guides/bike-fit-for-hand-numbness-and-wrist-pain,guides/bike-fit-for-hand-numbness-and-wrist-pain,Bike Fit for Hand Numbness and Wrist Pain,Hand Numbness & Wrist Pain Fit Guide | BestBikeFit4U,Bike Fit for Hand Numbness and Wrist Pain,Explains how pressure distribution; hood position; and wrist angle cause numbness or pain in the hands.,Start Free Fit,/en/login,"/en/guides/bike-fit-for-neck-and-shoulder-pain; /en/guides/handlebar-width-and-hood-position-guide; /en/guides/reach-and-stem-guide; /en/guides/gravel-bike-fit-guide",
7,Pain & Discomfort,New,/en/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores,guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores,Bike Fit for Saddle Pressure; Perineal Numbness; and Saddle Sores,Saddle Pressure & Saddle Sore Fit Guide | BestBikeFit4U,Bike Fit for Saddle Pressure; Perineal Numbness; and Saddle Sores,Covers saddle support; tilt; width; pelvic rotation; and when discomfort is no longer just a fit issue.,Start Free Fit,/en/login,"/en/guides/saddle-fore-aft-and-tilt-guide; /en/guides/endurance-bike-fit-guide; /en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /en/guides/when-online-bike-fit-has-limits",
8,Pain & Discomfort,New,/en/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes,guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes,Bike Fit for Foot Pain; Hot Foot; and Numb Toes,Foot Pain & Hot Foot Fit Guide | BestBikeFit4U,Bike Fit for Foot Pain; Hot Foot; and Numb Toes,Explains hot foot; numb toes; shoe shape; cleat position; and when to escalate into a foot and cleat workflow.,Open Shoe / Cleat Fit Module,/en/dashboard/shoe-cleat-fit,"/en/guides/shoe-foot-cleat-fit; /en/guides/cleat-position-basics-guide; /en/guides/cycling-shoe-fit-width-and-last-guide; /en/guides/insoles-arch-support-and-footbeds-guide",
9,Ride Types,New,/en/guides/ride-types,guides/ride-types,Ride Type Bike Fit Guides,Ride Type Bike Fit Guides | BestBikeFit4U,Ride Type Bike Fit Guides,Compares fit priorities across road; gravel; MTB; triathlon; endurance; and indoor riding.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/road-bike-fit-guide; /en/guides/gravel-bike-fit-guide; /en/guides/mountain-bike-fit-guide; /en/guides/triathlon-bike-fit-guide",
10,Ride Types,Existing,/en/guides/road-bike-fit-guide,guides/road-bike-fit-guide,Road Bike Fit Guide,Road Bike Fit Guide | BestBikeFit4U,Road Bike Fit Guide,Explains the sustainable tradeoff between comfort; control; and speed on a road bike.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/saddle-height-guide; /en/guides/reach-and-stem-guide; /en/guides/handlebar-drop-guide; /en/guides/endurance-bike-fit-guide",
11,Ride Types,Existing + redirect from use case,/en/guides/gravel-bike-fit-guide,guides/gravel-bike-fit-guide,Gravel Bike Fit Guide,Gravel Bike Fit Guide | BestBikeFit4U,Gravel Bike Fit Guide,Shows how gravel fit balances stability; relaxed support; and rough-surface control.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/road-bike-fit-guide; /en/guides/mountain-bike-fit-guide; /en/guides/handlebar-width-and-hood-position-guide; /en/guides/bike-size-and-geometry",301 redirect /en/use-cases/gravel-cycling-fit here. Keep the gravel tire-pressure calculator as a secondary link.
12,Ride Types,Existing + redirect from use case,/en/guides/mountain-bike-fit-guide,guides/mountain-bike-fit-guide,Mountain Bike Fit Guide,Mountain Bike Fit Guide | BestBikeFit4U,Mountain Bike Fit Guide,Explains MTB fit around climbing traction; movement freedom; and front-wheel control.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/crank-length-guide; /en/guides/stance-width-q-factor-and-pedal-spacer-guide; /en/guides/bike-fit-for-hand-numbness-and-wrist-pain; /en/guides/ride-types",301 redirect /en/use-cases/mountain-cycling-fit here. Keep MTB tire pressure as a secondary utility link.
13,Ride Types,Existing + redirect from use case,/en/guides/triathlon-bike-fit-guide,guides/triathlon-bike-fit-guide,Triathlon Bike Fit Guide,Triathlon Bike Fit Guide | BestBikeFit4U,Triathlon Bike Fit Guide,Covers triathlon fit around saddle support; hip angle; aero sustainability; and run preservation.,Start Free Fit,/en/login,"/en/guides/endurance-bike-fit-guide; /en/guides/handlebar-drop-guide; /en/guides/saddle-fore-aft-and-tilt-guide; /en/about",301 redirect /en/use-cases/triathlon-bike-fit here.
14,Ride Types,New from use case,/en/guides/endurance-bike-fit-guide,guides/endurance-bike-fit-guide,Endurance Bike Fit Guide,Endurance Bike Fit Guide | BestBikeFit4U,Endurance Bike Fit Guide,Frames endurance fit as durability; fatigue resistance; and long-ride support rather than just an upright posture.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/road-bike-fit-guide; /en/guides/bike-fitting-for-lower-back-pain; /en/guides/handlebar-drop-guide; /en/guides/cycling-fueling-basics",Create from /en/use-cases/endurance-cycling-fit and redirect that legacy URL here.
15,Ride Types,New,/en/guides/indoor-trainer-bike-fit-guide,guides/indoor-trainer-bike-fit-guide,Indoor Trainer Bike Fit Guide,Indoor Trainer Bike Fit Guide | BestBikeFit4U,Indoor Trainer Bike Fit Guide,Explains why indoor training magnifies pressure hotspots and demands a slightly different fit check order.,Open Bike Fit Calculator,/en/calculators/bike-fit,"/en/guides/endurance-bike-fit-guide; /en/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores; /en/guides/hydration-and-sweat-rate-guide; /en/guides/handlebar-width-and-hood-position-guide",
