brand_id,brand,model_slug,model,representative_model_page,representative_year,size_label,stack_mm,reach_mm,data_quality,source_url,source_ref,source_note
canyon,Canyon,canyon-aeroad,Aeroad,Canyon Aeroad 2025,2025,XS,520,378,representative_latest_year,https://geometrygeeks.bike/bike/canyon-aeroad-2025/,turn2search11/turn11view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
canyon,Canyon,canyon-aeroad,Aeroad,Canyon Aeroad 2025,2025,S,539,390,representative_latest_year,https://geometrygeeks.bike/bike/canyon-aeroad-2025/,turn2search11/turn11view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
canyon,Canyon,canyon-aeroad,Aeroad,Canyon Aeroad 2025,2025,M,560,393,representative_latest_year,https://geometrygeeks.bike/bike/canyon-aeroad-2025/,turn2search11/turn11view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
canyon,Canyon,canyon-aeroad,Aeroad,Canyon Aeroad 2025,2025,L,580,401,representative_latest_year,https://geometrygeeks.bike/bike/canyon-aeroad-2025/,turn2search11/turn11view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
cannondale,Cannondale,cannondale-topstone,Topstone,Cannondale Topstone carbon 2025,2025,47,554,364,representative_latest_year,https://geometrygeeks.bike/bike/cannondale-topstone-carbon-2025/,turn6search3/turn13view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
cannondale,Cannondale,cannondale-topstone,Topstone,Cannondale Topstone carbon 2025,2025,51,564,373,representative_latest_year,https://geometrygeeks.bike/bike/cannondale-topstone-carbon-2025/,turn6search3/turn13view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
cannondale,Cannondale,cannondale-topstone,Topstone,Cannondale Topstone carbon 2025,2025,54,579,378,representative_latest_year,https://geometrygeeks.bike/bike/cannondale-topstone-carbon-2025/,turn6search3/turn13view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
cannondale,Cannondale,cannondale-topstone,Topstone,Cannondale Topstone carbon 2025,2025,56,597,383,representative_latest_year,https://geometrygeeks.bike/bike/cannondale-topstone-carbon-2025/,turn6search3/turn13view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
cannondale,Cannondale,cannondale-topstone,Topstone,Cannondale Topstone carbon 2025,2025,58,615,389,representative_latest_year,https://geometrygeeks.bike/bike/cannondale-topstone-carbon-2025/,turn6search3/turn13view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
cannondale,Cannondale,cannondale-topstone,Topstone,Cannondale Topstone carbon 2025,2025,61,646,397,representative_latest_year,https://geometrygeeks.bike/bike/cannondale-topstone-carbon-2025/,turn6search3/turn13view0,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
pinarello,Pinarello,pinarello-grevil,Grevil,Pinarello Grevil F 2023,2023,470,548,360,representative_latest_year,https://geometrygeeks.bike/bike/pinarello-grevil-f-2023/,turn6search7/turn13view1,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
pinarello,Pinarello,pinarello-grevil,Grevil,Pinarello Grevil F 2023,2023,500,564,368,representative_latest_year,https://geometrygeeks.bike/bike/pinarello-grevil-f-2023/,turn6search7/turn13view1,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
pinarello,Pinarello,pinarello-grevil,Grevil,Pinarello Grevil F 2023,2023,530,578,374,representative_latest_year,https://geometrygeeks.bike/bike/pinarello-grevil-f-2023/,turn6search7/turn13view1,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
pinarello,Pinarello,pinarello-grevil,Grevil,Pinarello Grevil F 2023,2023,550,594,382,representative_latest_year,https://geometrygeeks.bike/bike/pinarello-grevil-f-2023/,turn6search7/turn13view1,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
pinarello,Pinarello,pinarello-grevil,Grevil,Pinarello Grevil F 2023,2023,575,609,390,representative_latest_year,https://geometrygeeks.bike/bike/pinarello-grevil-f-2023/,turn6search7/turn13view1,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
pinarello,Pinarello,pinarello-grevil,Grevil,Pinarello Grevil F 2023,2023,600,629,398,representative_latest_year,https://geometrygeeks.bike/bike/pinarello-grevil-f-2023/,turn6search7/turn13view1,Stack|reach pairs from Geometry Geeks snippet; size labels from page lines.
bmc,BMC,bmc-roadmachine,Roadmachine,BMC Roadmachine 2024,2024,47,525,370,representative_latest_year,https://geometrygeeks.bike/bike/bmc-roadmachine-2024/,turn14search0,Use snippet stack|reach pairs; ignore malformed non-stack/reach lines.
bmc,BMC,bmc-roadmachine,Roadmachine,BMC Roadmachine 2024,2024,51,550,379,representative_latest_year,https://geometrygeeks.bike/bike/bmc-roadmachine-2024/,turn14search0,Use snippet stack|reach pairs; ignore malformed non-stack/reach lines.
bmc,BMC,bmc-roadmachine,Roadmachine,BMC Roadmachine 2024,2024,54,570,383,representative_latest_year,https://geometrygeeks.bike/bike/bmc-roadmachine-2024/,turn14search0,Use snippet stack|reach pairs; ignore malformed non-stack/reach lines.
bmc,BMC,bmc-roadmachine,Roadmachine,BMC Roadmachine 2024,2024,56,595,388,representative_latest_year,https://geometrygeeks.bike/bike/bmc-roadmachine-2024/,turn14search0,Use snippet stack|reach pairs; ignore malformed non-stack/reach lines.
bmc,BMC,bmc-roadmachine,Roadmachine,BMC Roadmachine 2024,2024,58,620,393,representative_latest_year,https://geometrygeeks.bike/bike/bmc-roadmachine-2024/,turn14search0,Use snippet stack|reach pairs; ignore malformed non-stack/reach lines.
bmc,BMC,bmc-roadmachine,Roadmachine,BMC Roadmachine 2024,2024,61,645,398,representative_latest_year,https://geometrygeeks.bike/bike/bmc-roadmachine-2024/,turn14search0,Use snippet stack|reach pairs; ignore malformed non-stack/reach lines.
cervelo,Cervelo,cervelo-caledonia,Caledonia,Cervelo Caledonia-5 2025,2025,48,505,360,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-caledonia-5-2025/,turn14search1,Use snippet stack|reach pairs; representative geometry for Caledonia family.
cervelo,Cervelo,cervelo-caledonia,Caledonia,Cervelo Caledonia-5 2025,2025,51,530,369,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-caledonia-5-2025/,turn14search1,Use snippet stack|reach pairs; representative geometry for Caledonia family.
cervelo,Cervelo,cervelo-caledonia,Caledonia,Cervelo Caledonia-5 2025,2025,54,555,378,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-caledonia-5-2025/,turn14search1,Use snippet stack|reach pairs; representative geometry for Caledonia family.
cervelo,Cervelo,cervelo-caledonia,Caledonia,Cervelo Caledonia-5 2025,2025,56,580,387,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-caledonia-5-2025/,turn14search1,Use snippet stack|reach pairs; representative geometry for Caledonia family.
cervelo,Cervelo,cervelo-caledonia,Caledonia,Cervelo Caledonia-5 2025,2025,58,605,396,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-caledonia-5-2025/,turn14search1,Use snippet stack|reach pairs; representative geometry for Caledonia family.
cervelo,Cervelo,cervelo-caledonia,Caledonia,Cervelo Caledonia-5 2025,2025,61,630,405,representative_latest_year,https://geometrygeeks.bike/bike/cervelo-caledonia-5-2025/,turn14search1,Use snippet stack|reach pairs; representative geometry for Caledonia family.
trek,Trek,trek-checkpoint,Checkpoint,TREK Checkpoint SL6 2025,2025,XS,535,380,representative_latest_year,https://geometrygeeks.bike/bike/trek-checkpoint-sl6-2025/,turn14search2,Use snippet stack|reach pairs; representative geometry for Checkpoint family.
trek,Trek,trek-checkpoint,Checkpoint,TREK Checkpoint SL6 2025,2025,S,556,386,representative_latest_year,https://geometrygeeks.bike/bike/trek-checkpoint-sl6-2025/,turn14search2,Use snippet stack|reach pairs; representative geometry for Checkpoint family.
trek,Trek,trek-checkpoint,Checkpoint,TREK Checkpoint SL6 2025,2025,M,579,391,representative_latest_year,https://geometrygeeks.bike/bike/trek-checkpoint-sl6-2025/,turn14search2,Use snippet stack|reach pairs; representative geometry for Checkpoint family.
trek,Trek,trek-checkpoint,Checkpoint,TREK Checkpoint SL6 2025,2025,ML,601,397,representative_latest_year,https://geometrygeeks.bike/bike/trek-checkpoint-sl6-2025/,turn14search2,Use snippet stack|reach pairs; representative geometry for Checkpoint family.
trek,Trek,trek-checkpoint,Checkpoint,TREK Checkpoint SL6 2025,2025,L,620,402,representative_latest_year,https://geometrygeeks.bike/bike/trek-checkpoint-sl6-2025/,turn14search2,Use snippet stack|reach pairs; representative geometry for Checkpoint family.
trek,Trek,trek-checkpoint,Checkpoint,TREK Checkpoint SL6 2025,2025,XL,640,408,representative_latest_year,https://geometrygeeks.bike/bike/trek-checkpoint-sl6-2025/,turn14search2,Use snippet stack|reach pairs; representative geometry for Checkpoint family.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,XXS/47,501,379,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,XS/49,512,386,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,S/52,526,392,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,M/54,543,395,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,L/56,564,403,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,XL/58,584,406,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
scott,Scott,scott-addict-rc,Addict RC,SCOTT Addict RC 2025,2025,XXL/61,604,411,representative_latest_year,https://geometrygeeks.bike/bike/scott-addict-rc-2025/,turn14search4,Use snippet stack|reach pairs.
giant,Giant,giant-revolt,Revolt,Giant Revolt Advanced 2024,2024,XS,556,381,representative_latest_year,https://geometrygeeks.bike/bike/giant-revolt-advanced-2024/,turn14search5,Use snippet stack|reach pairs; representative geometry for Revolt family.
giant,Giant,giant-revolt,Revolt,Giant Revolt Advanced 2024,2024,S,570,381,representative_latest_year,https://geometrygeeks.bike/bike/giant-revolt-advanced-2024/,turn14search5,Use snippet stack|reach pairs; representative geometry for Revolt family.
giant,Giant,giant-revolt,Revolt,Giant Revolt Advanced 2024,2024,M,586,387,representative_latest_year,https://geometrygeeks.bike/bike/giant-revolt-advanced-2024/,turn14search5,Use snippet stack|reach pairs; representative geometry for Revolt family.
giant,Giant,giant-revolt,Revolt,Giant Revolt Advanced 2024,2024,ML,602,391,representative_latest_year,https://geometrygeeks.bike/bike/giant-revolt-advanced-2024/,turn14search5,Use snippet stack|reach pairs; representative geometry for Revolt family.
giant,Giant,giant-revolt,Revolt,Giant Revolt Advanced 2024,2024,L,616,397,representative_latest_year,https://geometrygeeks.bike/bike/giant-revolt-advanced-2024/,turn14search5,Use snippet stack|reach pairs; representative geometry for Revolt family.
giant,Giant,giant-revolt,Revolt,Giant Revolt Advanced 2024,2024,XL,630,407,representative_latest_year,https://geometrygeeks.bike/bike/giant-revolt-advanced-2024/,turn14search5,Use snippet stack|reach pairs; representative geometry for Revolt family.
giant,Giant,giant-tcr,TCR,Giant TCR Advanced Pro 0/1 2025,2025,XS,517,376,representative_latest_year,https://geometrygeeks.bike/bike/giant-tcr-advanced-pro-01-2025/,turn14search6,Use snippet stack|reach pairs; representative geometry for TCR family.
giant,Giant,giant-tcr,TCR,Giant TCR Advanced Pro 0/1 2025,2025,S,528,383,representative_latest_year,https://geometrygeeks.bike/bike/giant-tcr-advanced-pro-01-2025/,turn14search6,Use snippet stack|reach pairs; representative geometry for TCR family.
giant,Giant,giant-tcr,TCR,Giant TCR Advanced Pro 0/1 2025,2025,M,545,388,representative_latest_year,https://geometrygeeks.bike/bike/giant-tcr-advanced-pro-01-2025/,turn14search6,Use snippet stack|reach pairs; representative geometry for TCR family.
giant,Giant,giant-tcr,TCR,Giant TCR Advanced Pro 0/1 2025,2025,ML,562,393,representative_latest_year,https://geometrygeeks.bike/bike/giant-tcr-advanced-pro-01-2025/,turn14search6,Use snippet stack|reach pairs; representative geometry for TCR family.
giant,Giant,giant-tcr,TCR,Giant TCR Advanced Pro 0/1 2025,2025,L,581,402,representative_latest_year,https://geometrygeeks.bike/bike/giant-tcr-advanced-pro-01-2025/,turn14search6,Use snippet stack|reach pairs; representative geometry for TCR family.
giant,Giant,giant-tcr,TCR,Giant TCR Advanced Pro 0/1 2025,2025,XL,596,412,representative_latest_year,https://geometrygeeks.bike/bike/giant-tcr-advanced-pro-01-2025/,turn14search6,Use snippet stack|reach pairs; representative geometry for TCR family.
bmc,BMC,bmc-kaius,Kaius,BMC Kaius 01 2023,2023,47,510,390,representative_latest_year,https://geometrygeeks.bike/bike/bmc-kaius-01-2023/,turn14search7,Use snippet stack|reach pairs.
bmc,BMC,bmc-kaius,Kaius,BMC Kaius 01 2023,2023,51,530,397,representative_latest_year,https://geometrygeeks.bike/bike/bmc-kaius-01-2023/,turn14search7,Use snippet stack|reach pairs.
bmc,BMC,bmc-kaius,Kaius,BMC Kaius 01 2023,2023,54,550,401,representative_latest_year,https://geometrygeeks.bike/bike/bmc-kaius-01-2023/,turn14search7,Use snippet stack|reach pairs.
