Order,Cluster,Status,Path,Slug,Page Title,Meta Title,H1,Page Brief,Primary CTA Label,Primary CTA Target,Internal-Link Targets,Notes / Redirects
1,Gidsen,Bestaand + uitbreiden,/nl/guides,guides,Bikefitting gidsen,Bikefitting gidsen | BestBikeFit4U,Bikefitting gidsen,Hoofdontdekkingspagina die rijders routeert op klacht; rijtype; setupvraag of prestatiedoel.,Start gratis fit,/nl/login,"/nl/guides/pain-and-discomfort; /nl/guides/ride-types; /nl/guides/bike-size-and-geometry; /nl/guides/nutrition-and-hydration",Behoud /nl/guides als hoofd-hub en breid uit met filters; uitgelichte clusters en sterkere CTA's.
2,Pijn & klachten,Nieuw,/nl/guides/pain-and-discomfort,guides/pain-and-discomfort,Bikefitting gidsen bij pijn en klachten,Bikefitting gidsen bij pijn en klachten | BestBikeFit4U,Bikefitting gidsen bij pijn en klachten,Symptoomgerichte hub om terugkerende klachten te triëren en rijders eerst naar de juiste fitchecks te sturen.,Start gratis fit,/nl/login,"/nl/guides/bike-fitting-for-knee-pain; /nl/guides/bike-fitting-for-lower-back-pain; /nl/guides/bike-fit-for-hand-numbness-and-wrist-pain; /nl/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores",
3,Pijn & klachten,Bestaand,/nl/guides/bike-fitting-for-knee-pain,guides/bike-fitting-for-knee-pain,Bikefitting bij kniepijn,Bikefit bij kniepijn | BestBikeFit4U,Bikefitting bij kniepijn,Legt de belangrijkste fitgerelateerde oorzaken van kniepijn uit en een conservatieve volgorde om wijzigingen te testen.,Start gratis fit,/nl/login,"/nl/guides/bike-fitting-for-lower-back-pain; /nl/guides/saddle-height-guide; /nl/guides/cleat-position-basics-guide; /nl/science/bike-fit-methods",
4,Pijn & klachten,Bestaand + redirect uit use case,/nl/guides/bike-fitting-for-lower-back-pain,guides/bike-fitting-for-lower-back-pain,Bikefitting bij lage rugklachten,Bikefit bij lage rugklachten | BestBikeFit4U,Bikefitting bij lage rugklachten,Laat zien hoe reach; drop; zadelondersteuning en adaptatiebelasting lage rugpijn kunnen veroorzaken.,Start gratis fit,/nl/login,"/nl/guides/road-bike-fit-guide; /nl/guides/reach-and-stem-guide; /nl/guides/handlebar-drop-guide; /nl/science/bike-fit-methods",301-redirect /nl/use-cases/back-pain-cycling hierheen.
5,Pijn & klachten,Nieuw,/nl/guides/bike-fit-for-neck-and-shoulder-pain,guides/bike-fit-for-neck-and-shoulder-pain,Bikefit bij nek- en schouderpijn,Nek- en schouderpijn fitgids | BestBikeFit4U,Bikefit bij nek- en schouderpijn,Helpt rijders nek- en schouderoverbelasting te verminderen door support; reach en stuursetup te verbeteren.,Start gratis fit,/nl/login,"/nl/guides/bike-fit-for-hand-numbness-and-wrist-pain; /nl/guides/handlebar-width-and-hood-position-guide; /nl/guides/reach-and-stem-guide; /nl/guides/road-bike-fit-guide",
6,Pijn & klachten,Nieuw,/nl/guides/bike-fit-for-hand-numbness-and-wrist-pain,guides/bike-fit-for-hand-numbness-and-wrist-pain,Bikefit bij dove handen en polspijn,Dove handen en polspijn fitgids | BestBikeFit4U,Bikefit bij dove handen en polspijn,Legt uit hoe drukverdeling; hoodpositie en polshoek dove handen of polspijn veroorzaken.,Start gratis fit,/nl/login,"/nl/guides/bike-fit-for-neck-and-shoulder-pain; /nl/guides/handlebar-width-and-hood-position-guide; /nl/guides/reach-and-stem-guide; /nl/guides/gravel-bike-fit-guide",
7,Pijn & klachten,Nieuw,/nl/guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores,guides/bike-fit-for-saddle-pressure-perineal-numbness-and-saddle-sores,Bikefit bij zadeldruk; perineale gevoelloosheid en zadelzweren,Zadeldruk en zadelzweren fitgids | BestBikeFit4U,Bikefit bij zadeldruk; perineale gevoelloosheid en zadelzweren,Behandelt zadelondersteuning; kanteling; breedte; bekkenrotatie en wanneer discomfort niet langer alleen een fitprobleem is.,Start gratis fit,/nl/login,"/nl/guides/saddle-fore-aft-and-tilt-guide; /nl/guides/endurance-bike-fit-guide; /nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes; /nl/guides/when-online-bike-fit-has-limits",
8,Pijn & klachten,Nieuw,/nl/guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes,guides/bike-fit-for-foot-pain-hot-foot-and-numb-toes,Bikefit bij voetpijn; hot foot en dove tenen,Voetpijn en hot foot fitgids | BestBikeFit4U,Bikefit bij voetpijn; hot foot en dove tenen,Legt hot foot; dove tenen; schoenvorm; cleatpositie en het moment om op te schalen naar een voet- en cleatworkflow uit.,Open schoen- / cleatmodule,/nl/dashboard/shoe-cleat-fit,"/nl/guides/shoe-foot-cleat-fit; /nl/guides/cleat-position-basics-guide; /nl/guides/cycling-shoe-fit-width-and-last-guide; /nl/guides/insoles-arch-support-and-footbeds-guide",
9,Rijtypes,Nieuw,/nl/guides/ride-types,guides/ride-types,Bikefitting gidsen per rijtype,Bikefitting gidsen per rijtype | BestBikeFit4U,Bikefitting gidsen per rijtype,Vergelijkt fitprioriteiten voor race; gravel; MTB; triathlon; endurance en indoor rijden.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/road-bike-fit-guide; /nl/guides/gravel-bike-fit-guide; /nl/guides/mountain-bike-fit-guide; /nl/guides/triathlon-bike-fit-guide",
10,Rijtypes,Bestaand,/nl/guides/road-bike-fit-guide,guides/road-bike-fit-guide,Racefiets fitgids,Racefiets fitgids | BestBikeFit4U,Racefiets fitgids,Legt de duurzame afweging uit tussen comfort; controle en snelheid op een racefiets.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/saddle-height-guide; /nl/guides/reach-and-stem-guide; /nl/guides/handlebar-drop-guide; /nl/guides/endurance-bike-fit-guide",
11,Rijtypes,Bestaand + redirect uit use case,/nl/guides/gravel-bike-fit-guide,guides/gravel-bike-fit-guide,Gravel fitgids,Gravel fitgids | BestBikeFit4U,Gravel fitgids,Laat zien hoe gravel-fit stabiliteit; ontspannen support en controle op ruwe ondergrond in balans brengt.,Open bike fit calculator,/nl/calculators/bike-fit,"/nl/guides/road-bike-fit-guide; /nl/guides/mountain-bike-fit-guide; /nl/guides/handlebar-width-and-hood-position-guide; /nl/guides/bike-size-and-geometry",301-redirect /nl/use-cases/gravel-cycling-fit hierheen. Houd de gravel bandenspanningcalculator als secundaire link.
