brand,model,category,fit_engine_profile,fit_engine_variant,intro_year_estimate,recommended_source_priority,notes
Specialized,Tarmac,Road-Race,road_performance,race_allround,2003,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Aethos,Road-Lightweight,road_performance,lightweight_climbing,2020,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Roubaix,Road-Endurance,road_endurance,comfort_endurance,2004,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Venge,Road-Aero,road_performance,aero_race,2011,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Diverge,Gravel,gravel,allroad,2014,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Crux,Gravel,gravel,allroad,2010,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Epic,MTB-XC,mtb_xc,xc,2003,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Stumpjumper,MTB-Trail,mtb_trail,trail,1981,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Enduro,MTB-Enduro,mtb_enduro,enduro,2000,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Demo,MTB-Downhill,mtb_downhill,downhill,2004,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Turbo Vado,E-Bike,electric_assist,assisted_upright,2016,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Specialized,Turbo Creo,E-Bike,electric_assist,assisted_upright,2019,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Emonda,Road-Race,road_performance,race_allround,2014,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Domane,Road-Endurance,road_endurance,comfort_endurance,2012,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Boone,Cyclocross,cyclocross,cx_race,2012,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Supercaliber,MTB-XC,mtb_xc,xc,2019,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Fuel EX,MTB-Trail,mtb_trail,trail,2005,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Slash,MTB-Enduro,mtb_enduro,enduro,2010,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Marlin,MTB-Hardtail,mtb_xc,hardtail,2012,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,FX,Hybrid,fitness_hybrid,upright_fitness,2005,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Trek,Allant+,E-Bike,electric_assist,assisted_upright,2018,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Giant,Propel,Road-Aero,road_performance,aero_race,2013,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Giant,Defy,Road-Endurance,road_endurance,comfort_endurance,2008,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Giant,TCX,Cyclocross,cyclocross,cx_race,2003,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Giant,Anthem,MTB-XC,mtb_xc,xc,2006,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Giant,Trance,MTB-Trail,mtb_trail,trail,2005,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
Giant,Reign,MTB-Enduro,mtb_enduro,enduro,2005,official_brand_geometry_then_geometrygeeks,Need representative latest model-year page with reliable stack|reach extraction.
