brand_id,brand,model_slug,model,category,fit_engine_profile,fit_engine_variant,intro_year_estimate,intro_year_confidence,geometry_status,is_active_assumption
specialized,Specialized,specialized-tarmac,Tarmac,Road-Race,road_performance,race_allround,2003,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-aethos,Aethos,Road-Lightweight,road_performance,lightweight_climbing,2020,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-roubaix,Roubaix,Road-Endurance,road_endurance,comfort_endurance,2004,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-venge,Venge,Road-Aero,road_performance,aero_race,2011,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-diverge,Diverge,Gravel,gravel,allroad,2014,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-crux,Crux,Gravel,gravel,allroad,2010,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-epic,Epic,MTB-XC,mtb_xc,xc,2003,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-stumpjumper,Stumpjumper,MTB-Trail,mtb_trail,trail,1981,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-enduro,Enduro,MTB-Enduro,mtb_enduro,enduro,2000,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-demo,Demo,MTB-Downhill,mtb_downhill,downhill,2004,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-turbo-vado,Turbo Vado,E-Bike,electric_assist,assisted_upright,2016,estimated,queue_for_geometry_import,True
specialized,Specialized,specialized-turbo-creo,Turbo Creo,E-Bike,electric_assist,assisted_upright,2019,estimated,queue_for_geometry_import,True
trek,Trek,trek-madone,Madone,Road-Aero,road_performance,aero_race,2003,estimated,starter_geometry_loaded,True
trek,Trek,trek-emonda,Emonda,Road-Race,road_performance,race_allround,2014,estimated,queue_for_geometry_import,True
trek,Trek,trek-domane,Domane,Road-Endurance,road_endurance,comfort_endurance,2012,estimated,queue_for_geometry_import,True
trek,Trek,trek-checkpoint,Checkpoint,Gravel,gravel,allroad,2018,estimated,starter_geometry_loaded,True
trek,Trek,trek-boone,Boone,Cyclocross,cyclocross,cx_race,2012,estimated,queue_for_geometry_import,True
trek,Trek,trek-supercaliber,Supercaliber,MTB-XC,mtb_xc,xc,2019,estimated,queue_for_geometry_import,True
trek,Trek,trek-fuel-ex,Fuel EX,MTB-Trail,mtb_trail,trail,2005,estimated,queue_for_geometry_import,True
trek,Trek,trek-slash,Slash,MTB-Enduro,mtb_enduro,enduro,2010,estimated,queue_for_geometry_import,True
trek,Trek,trek-marlin,Marlin,MTB-Hardtail,mtb_xc,hardtail,2012,estimated,queue_for_geometry_import,True
trek,Trek,trek-fx,FX,Hybrid,fitness_hybrid,upright_fitness,2005,estimated,queue_for_geometry_import,True
trek,Trek,trek-allant,Allant+,E-Bike,electric_assist,assisted_upright,2018,estimated,queue_for_geometry_import,True
giant,Giant,giant-tcr,TCR,Road-Race,road_performance,race_allround,1997,estimated,starter_geometry_loaded,True
giant,Giant,giant-propel,Propel,Road-Aero,road_performance,aero_race,2013,estimated,queue_for_geometry_import,True
giant,Giant,giant-defy,Defy,Road-Endurance,road_endurance,comfort_endurance,2008,estimated,queue_for_geometry_import,True
giant,Giant,giant-revolt,Revolt,Gravel,gravel,allroad,2013,estimated,starter_geometry_loaded,True
giant,Giant,giant-tcx,TCX,Cyclocross,cyclocross,cx_race,2003,estimated,queue_for_geometry_import,True
giant,Giant,giant-anthem,Anthem,MTB-XC,mtb_xc,xc,2006,estimated,queue_for_geometry_import,True
giant,Giant,giant-trance,Trance,MTB-Trail,mtb_trail,trail,2005,estimated,queue_for_geometry_import,True
giant,Giant,giant-reign,Reign,MTB-Enduro,mtb_enduro,enduro,2005,estimated,queue_for_geometry_import,True
giant,Giant,giant-talon,Talon,MTB-Hardtail,mtb_xc,hardtail,2009,estimated,queue_for_geometry_import,True
giant,Giant,giant-fastroad,FastRoad,Hybrid,fitness_hybrid,upright_fitness,2016,estimated,queue_for_geometry_import,True
giant,Giant,giant-explore-e,Explore E+,E-Bike,electric_assist,assisted_upright,2019,estimated,queue_for_geometry_import,True
cannondale,Cannondale,cannondale-supersix-evo,SuperSix EVO,Road-Race,road_performance,race_allround,2007,estimated,queue_for_geometry_import,True
